iter	Logloss
0	0.646321113
1	0.6073729698
2	0.5750378224
3	0.5490107138
4	0.5287859835
5	0.5125017675
6	0.4984841125
7	0.4870554758
8	0.4777393261
9	0.4695004264
10	0.4631501144
11	0.4577957015
12	0.4531152949
13	0.4494909536
14	0.4459758649
15	0.4429773707
16	0.4407504671
17	0.4386290295
18	0.4369796393
19	0.4354798229
20	0.4343488678
21	0.4329212045
22	0.4316342236
23	0.4305078148
24	0.429821749
25	0.4290204524
26	0.4283749988
27	0.427656538
28	0.4272844792
29	0.4266549512
30	0.4263833614
31	0.4259314542
32	0.4253705033
33	0.4249282269
34	0.4245232408
35	0.42417784
36	0.4238076463
37	0.4235028965
38	0.4232275303
39	0.4228448688
40	0.4225861918
41	0.4223884485
42	0.4221825017
43	0.4220225626
44	0.4218519613
45	0.4216364825
46	0.4214242427
47	0.4212274874
48	0.4210079981
49	0.4208074224
50	0.4206593301
51	0.4204893665
52	0.4203369393
53	0.4201996808
54	0.4200089882
55	0.4198873071
56	0.4197740134
57	0.4196886182
58	0.4195345696
59	0.4194046049
60	0.4192995923
61	0.4191094911
62	0.4190024811
63	0.4188422753
64	0.4187610022
65	0.4186913994
66	0.4186222375
67	0.4185089734
68	0.4183632674
69	0.4182442401
70	0.4181774016
71	0.4180271309
72	0.4179249689
73	0.4178352648
74	0.4177446339
75	0.4176408752
76	0.4175222534
77	0.4174653572
78	0.4173989042
79	0.4172975018
80	0.4172028355
81	0.4171375755
82	0.4170543895
83	0.4169779336
84	0.4168851754
85	0.4168106898
86	0.4167037731
87	0.4165917705
88	0.4165141726
89	0.4164490855
90	0.4163927411
91	0.4163203152
92	0.4162261358
93	0.4161519788
94	0.416068853
95	0.4160160041
96	0.4159324339
97	0.4158168481
98	0.4157434533
99	0.4156878013
100	0.415628274
101	0.4155606399
102	0.4154887191
103	0.4154583549
104	0.4153948215
105	0.4153467073
106	0.4152530661
107	0.4151792508
108	0.4151120896
109	0.4150799074
110	0.4150261686
111	0.4149602198
112	0.4148964384
113	0.4148235838
114	0.4147651165
115	0.4146705256
116	0.4146197784
117	0.4145516584
118	0.4144824518
119	0.4144146808
120	0.414365668
121	0.4143038143
122	0.4142503734
123	0.4142088253
124	0.4141335394
125	0.414044481
126	0.4139680773
127	0.4139302738
128	0.4138385893
129	0.4137844649
130	0.4137284827
131	0.4136623524
132	0.4135706856
133	0.4135106734
134	0.413454466
135	0.4134049998
136	0.4133118922
137	0.4132232499
138	0.4131625415
139	0.4130743771
140	0.4130180554
141	0.4129794744
142	0.4129112968
143	0.4128227422
144	0.4127597358
145	0.4126943107
146	0.4126182552
147	0.4125300893
148	0.4124253106
149	0.412379754
150	0.4123012038
151	0.4122312113
152	0.4121693246
153	0.4121203088
154	0.4120447194
155	0.4119905532
156	0.411890748
157	0.4118425136
158	0.4117616873
159	0.4117117868
160	0.4116195677
161	0.4115405648
162	0.4114615692
163	0.4113903346
164	0.4113165113
165	0.4112560282
166	0.411203183
167	0.4111238726
168	0.411069152
169	0.4109978636
170	0.4109314051
171	0.4108523728
172	0.4107678851
173	0.4107042979
174	0.4106508386
175	0.4105872338
176	0.4105436896
177	0.4104874805
178	0.4104130378
179	0.4103384819
180	0.4102923897
181	0.4102221178
182	0.4101667627
183	0.4100953093
184	0.4100353527
185	0.4099600194
186	0.4099077329
187	0.4098460299
188	0.4097697294
189	0.4096940627
190	0.4096058543
191	0.4095451368
192	0.4094812731
193	0.4094234764
194	0.4093353291
195	0.4092708408
196	0.409204195
197	0.4091385239
198	0.4090949527
199	0.4090370839
200	0.408982039
201	0.4088891569
202	0.4088475413
203	0.4088030081
204	0.4087503364
205	0.4086684927
206	0.4085837599
207	0.4084931784
208	0.4084185974
209	0.4083688017
210	0.4082959495
211	0.4082288096
212	0.408164635
213	0.4081251829
214	0.4080685261
215	0.4080132047
216	0.407964554
217	0.4079017959
218	0.4078423687
219	0.4077916584
220	0.4077320515
221	0.4076704692
222	0.4076120109
223	0.4075503887
224	0.4074650738
225	0.4073780169
226	0.4073063
227	0.4072640042
228	0.4072108823
229	0.4071334748
230	0.4070801626
231	0.406994482
232	0.4069308504
233	0.4068790304
234	0.4068336289
235	0.4067768367
236	0.4066938965
237	0.4066125781
238	0.4065513678
239	0.406500656
240	0.4064362659
241	0.4063748696
242	0.4062942762
243	0.4062190273
244	0.4061457315
245	0.4060890731
246	0.4060366942
247	0.4059589668
248	0.4059015344
249	0.4058541616
250	0.4058091296
251	0.4057456194
252	0.4056789696
253	0.4056080402
254	0.4055644434
255	0.4055119063
256	0.4054867545
257	0.4054316987
258	0.4053625439
259	0.4052870448
260	0.4052213696
261	0.4051712346
262	0.4051100985
263	0.4050772569
264	0.405003164
265	0.4049533861
266	0.4048988935
267	0.4048368574
268	0.404799276
269	0.4047509216
270	0.4047123186
271	0.404669461
272	0.4046033201
273	0.4045661767
274	0.404508761
275	0.4044530537
276	0.4044037166
277	0.4043459907
278	0.404271269
279	0.404220275
280	0.4041626708
281	0.4041222343
282	0.4040714589
283	0.4040358331
284	0.4039451578
285	0.4039024514
286	0.403814015
287	0.4037708575
288	0.4037197583
289	0.4036554919
290	0.4035968675
291	0.4035461782
292	0.403470334
293	0.4033961342
294	0.4033716165
295	0.4033069876
296	0.4032687046
297	0.4032067052
298	0.4031326616
299	0.4030687021
300	0.4030328013
301	0.4029773666
302	0.4029124448
303	0.402877551
304	0.4027983259
305	0.4027339917
306	0.4026669854
307	0.4025951044
308	0.402549923
309	0.4024985606
310	0.4024362539
311	0.4023787957
312	0.4023219527
313	0.402277113
314	0.4022225666
315	0.4021868443
316	0.4021506669
317	0.4020823252
318	0.4020268955
319	0.4019711179
320	0.4019118408
321	0.4018523467
322	0.4017655198
323	0.4017175552
324	0.4016567478
325	0.401583588
326	0.4015488726
327	0.4014839135
328	0.4014485231
329	0.4013582021
330	0.4013019687
331	0.4012340499
332	0.4011909512
333	0.4011221081
334	0.4010780166
335	0.4010176186
336	0.400954281
337	0.4009164124
338	0.4008583458
339	0.4008148354
340	0.4007594428
341	0.4007035398
342	0.4006633457
343	0.4005767033
344	0.4005238583
345	0.4004766436
346	0.4004154146
347	0.4003363482
348	0.4002913615
349	0.4002322139
350	0.400135202
351	0.4000753916
352	0.4000158688
353	0.399974059
354	0.3999195676
355	0.3998400481
356	0.3997882344
357	0.3997240482
358	0.3996805255
359	0.3996075964
360	0.3995633063
361	0.3995169569
362	0.3994466286
363	0.3993975408
364	0.399321651
365	0.3992731408
366	0.399209173
367	0.3991523552
368	0.3990975751
369	0.3990285913
370	0.3989832032
371	0.3989364852
372	0.3988709051
373	0.3988007916
374	0.3987264573
375	0.398679232
376	0.3986082387
377	0.3985550467
378	0.398490893
379	0.3984372014
380	0.3983878876
381	0.3983440332
382	0.3982951127
383	0.3982452738
384	0.3981952461
385	0.398158889
386	0.3981099003
387	0.398052173
388	0.3979939735
389	0.3979465932
390	0.3978894155
391	0.3978357768
392	0.3977896108
393	0.3977447045
394	0.3977126885
395	0.3976572733
396	0.3976153097
397	0.3975450411
398	0.3974922604
399	0.397420162
400	0.3973544455
401	0.39730414
402	0.3972590533
403	0.3972107476
404	0.3971793527
405	0.3971260682
406	0.397054201
407	0.3970000853
408	0.3969522329
409	0.3968871686
410	0.3968386937
411	0.3967862068
412	0.3967445223
413	0.3966889369
414	0.3966411804
415	0.3966064544
416	0.3965535735
417	0.3965087008
418	0.3964577907
419	0.396409361
420	0.3963579945
421	0.3963144321
422	0.3962653514
423	0.3962186982
424	0.3961812161
425	0.3961373402
426	0.3960760116
427	0.3960299592
428	0.3959828185
429	0.3959506952
430	0.3958764736
431	0.3958341375
432	0.3957627824
433	0.3957040521
434	0.3956454147
435	0.3955956423
436	0.3955213733
437	0.395468516
438	0.3954134281
439	0.3953699153
440	0.3953329553
441	0.3952828934
442	0.3952177131
443	0.3951625429
444	0.3951260178
445	0.3950781181
446	0.3950314529
447	0.3949753516
448	0.3949327647
449	0.3948787003
450	0.3948271972
451	0.3948000735
452	0.3947667044
453	0.3947280158
454	0.3946605498
455	0.3946166683
456	0.3945637529
457	0.3945313226
458	0.3944966843
459	0.3944425452
460	0.3944029586
461	0.3943450715
462	0.3942909913
463	0.394237893
464	0.3942056255
465	0.3941551488
466	0.3941134637
467	0.3940757995
468	0.3940448371
469	0.3940156354
470	0.3939520314
471	0.393901981
472	0.3938190817
473	0.3937821129
474	0.3937285811
475	0.393652732
476	0.393590632
477	0.3935535229
478	0.3935084178
479	0.3934728158
480	0.3934284033
481	0.393395358
482	0.3933462138
483	0.3933018573
484	0.3932594778
485	0.3932166773
486	0.3931938331
487	0.3931580508
488	0.3931285933
489	0.3930848795
490	0.3930149035
491	0.3929566188
492	0.3929077102
493	0.3928814362
494	0.3928284884
495	0.3927913217
496	0.3927362133
497	0.3926840272
498	0.3926310408
499	0.3925707239
500	0.3925168893
501	0.3924755821
502	0.3924110571
503	0.392372767
504	0.3923238718
505	0.3922924698
506	0.3922484882
507	0.3921959149
508	0.392157733
509	0.3921232532
510	0.3920593305
511	0.3920100045
512	0.3919735216
513	0.3919323917
514	0.391878322
515	0.3918605771
516	0.391815652
517	0.3917550156
518	0.3917073541
519	0.3916651321
520	0.3916042086
521	0.39156729
522	0.3915255896
523	0.3914806911
524	0.3914341744
525	0.391391029
526	0.3913634223
527	0.3912868315
528	0.3912309672
529	0.3911897022
530	0.3911293517
531	0.3910969152
532	0.3910666165
533	0.3910246159
534	0.3909668668
535	0.3909201079
536	0.3908728287
537	0.390826442
538	0.3907874842
539	0.3907397831
540	0.3906876493
541	0.3906531198
542	0.3906072562
543	0.3905609261
544	0.3905292237
545	0.3904622291
546	0.3903995497
547	0.3903613711
548	0.3903246559
549	0.3902934006
550	0.3902232668
551	0.3901975202
552	0.3901416406
553	0.3901011699
554	0.3900430888
555	0.3900012822
556	0.3899490714
557	0.3899145917
558	0.3898480546
559	0.389803825
560	0.3897758162
561	0.3897533846
562	0.3897276845
563	0.389680168
564	0.3896384468
565	0.3895823966
566	0.3895516637
567	0.3894868751
568	0.3894402287
569	0.3893875525
570	0.3893410472
571	0.3892972308
572	0.3892645035
573	0.3892243053
574	0.3891827802
575	0.389144234
576	0.3890782148
577	0.3890307562
578	0.3889830188
579	0.3889397189
580	0.3889198764
581	0.388866435
582	0.388812485
583	0.3887614333
584	0.3887103769
585	0.3886651727
586	0.3886177861
587	0.3885675389
588	0.3885102857
589	0.3884739196
590	0.3884450341
591	0.3883977581
592	0.3883654522
593	0.3883076108
594	0.3882669461
595	0.388221026
596	0.3881882388
597	0.3881324434
598	0.3880835458
599	0.3880464733
600	0.3880085907
601	0.3879717855
602	0.3879225814
603	0.3878726435
604	0.3878290146
605	0.3877857556
606	0.387740492
607	0.3876749589
608	0.3876284446
609	0.3875964404
610	0.3875377156
611	0.387484937
612	0.3874450005
613	0.3874054663
614	0.3873558579
615	0.3873245946
616	0.3872693652
617	0.387232217
618	0.3871895163
619	0.387150767
620	0.3871145577
621	0.3870594998
622	0.3870246978
623	0.3869740612
624	0.386948863
625	0.3868931225
626	0.3868399577
627	0.3867957217
628	0.3867697686
629	0.3867277288
630	0.3866949589
631	0.386655788
632	0.3865980307
633	0.3865665618
634	0.3865276895
635	0.3864837893
636	0.3864373778
637	0.3863947613
638	0.3863370224
639	0.3863111055
640	0.3862611438
641	0.3862235963
642	0.3861762794
643	0.3861336276
644	0.3860923238
645	0.3860420337
646	0.3860003958
647	0.3859578887
648	0.3858920653
649	0.3858472982
650	0.3858109312
651	0.3857468119
652	0.3857118423
653	0.3856584851
654	0.3856060306
655	0.3855572833
656	0.3855110402
657	0.3854781475
658	0.3854402317
659	0.3854104515
660	0.3853835826
661	0.3853487427
662	0.3853022288
663	0.3852769434
664	0.3852427538
665	0.385180122
666	0.3851332826
667	0.3850959843
668	0.3850569812
669	0.3850096625
670	0.3849723435
671	0.3849336142
672	0.384891131
673	0.3848590737
674	0.3848171277
675	0.3847621967
676	0.384710867
677	0.3846654878
678	0.384626006
679	0.3845853023
680	0.3845469518
681	0.3845190542
682	0.3844680508
683	0.3844369803
684	0.3844064039
685	0.3843724157
686	0.3843329144
687	0.3843032841
688	0.3842616617
689	0.3842214119
690	0.3841840628
691	0.3841482596
692	0.3841087097
693	0.3840664305
694	0.3839933089
695	0.3839491739
696	0.383889051
697	0.3838564806
698	0.3838041368
699	0.3837553679
700	0.3837145274
701	0.3836661892
702	0.3836394031
703	0.3836006997
704	0.3835380779
705	0.3834907311
706	0.3834447583
707	0.3834216176
708	0.383388651
709	0.3833239952
710	0.3832918144
711	0.3832528979
712	0.3832297108
713	0.3831812206
714	0.3831367396
715	0.3830842631
716	0.3830308525
717	0.382987652
718	0.3829562192
719	0.3829121557
720	0.382860598
721	0.3828340114
722	0.3828047856
723	0.3827636577
724	0.3827419211
725	0.3826670543
726	0.3826311771
727	0.3826057408
728	0.3825643016
729	0.3825249209
730	0.3824802589
731	0.3824255855
732	0.3823898978
733	0.3823382732
734	0.3823083284
735	0.3822681265
736	0.3822424892
737	0.3822075779
738	0.3821688359
739	0.3821265653
740	0.3820850524
741	0.3820532413
742	0.3820066689
743	0.3819616316
744	0.3819318788
745	0.3819156251
746	0.3818718652
747	0.3818413632
748	0.3817712787
749	0.3817300446
750	0.3816725823
751	0.3816393455
752	0.3815800759
753	0.3815331492
754	0.3814999393
755	0.3814358083
756	0.3813764448
757	0.3813358341
758	0.3812890427
759	0.3812234113
760	0.3811814393
761	0.3811269059
762	0.3810818149
763	0.3810432906
764	0.3810083416
765	0.3809488752
766	0.3809140146
767	0.3808735511
768	0.3808321624
769	0.3807899799
770	0.3807501598
771	0.380697622
772	0.3806522141
773	0.3806238297
774	0.3805896634
775	0.3805447437
776	0.3805207451
