iter	Passed	Remaining
0	34	34197
1	69	34483
2	113	37792
3	151	37657
4	195	38907
5	255	42267
6	312	44301
7	359	44603
8	411	45257
9	452	44775
10	499	44913
11	540	44472
12	569	43241
13	612	43104
14	644	42293
15	677	41661
16	714	41312
17	749	40883
18	786	40595
19	818	40113
20	860	40116
21	923	41040
22	963	40947
23	994	40454
24	1032	40263
25	1065	39905
26	1098	39585
27	1140	39599
28	1167	39100
29	1204	38961
30	1238	38707
31	1277	38646
32	1311	38439
33	1346	38269
34	1382	38125
35	1422	38086
36	1479	38495
37	1511	38274
38	1560	38441
39	1609	38629
40	1645	38481
41	1680	38338
42	1726	38426
43	1758	38201
44	1792	38048
45	1830	37964
46	1866	37846
47	1902	37736
48	1939	37651
49	1981	37654
50	2014	37480
51	2047	37318
52	2086	37280
53	2120	37153
54	2153	36993
55	2188	36895
56	2225	36811
57	2261	36725
58	2296	36627
59	2322	36385
60	2361	36357
61	2399	36308
62	2438	36263
63	2479	36263
64	2534	36457
65	2567	36339
66	2608	36325
67	2666	36548
68	2702	36469
69	2741	36422
70	2777	36343
71	2815	36288
72	2854	36251
73	2889	36163
74	2936	36221
75	2987	36319
76	3023	36236
77	3056	36132
78	3096	36098
79	3132	36020
80	3172	35996
81	3221	36060
82	3270	36136
83	3308	36082
84	3382	36415
85	3420	36348
86	3465	36367
87	3506	36343
88	3562	36466
89	3604	36445
90	3654	36508
91	3694	36460
92	3734	36422
93	3779	36425
94	3815	36352
95	3852	36278
96	3902	36327
97	3942	36290
98	3984	36265
99	4030	36274
100	4069	36224
101	4109	36176
102	4139	36051
103	4184	36052
104	4232	36074
105	4264	35964
106	4300	35894
107	4338	35832
108	4372	35745
109	4409	35677
110	4437	35536
111	4480	35521
112	4513	35427
113	4562	35457
114	4598	35386
115	4634	35318
116	4677	35301
117	4714	35235
118	4764	35271
119	4797	35181
120	4836	35131
121	4884	35154
122	4920	35083
123	4955	35011
124	4993	34957
125	5027	34872
126	5065	34818
127	5114	34845
128	5160	34846
129	5200	34802
130	5238	34751
131	5283	34740
132	5319	34679
133	5359	34638
134	5399	34595
135	5440	34560
136	5479	34517
137	5523	34500
138	5559	34435
139	5594	34365
140	5638	34348
141	5674	34288
142	5720	34284
143	5758	34231
144	5794	34166
145	5836	34136
146	5876	34100
147	5913	34041
148	5951	33989
149	5994	33968
150	6029	33901
151	6063	33829
152	6109	33823
153	6144	33755
154	6195	33777
155	6233	33724
156	6280	33723
157	6313	33647
158	6354	33612
159	6388	33537
160	6441	33566
161	6483	33539
162	6529	33526
163	6579	33540
164	6651	33660
165	6693	33626
166	6743	33635
167	6792	33637
168	6844	33653
169	6883	33609
170	6925	33573
171	6993	33666
172	7042	33667
173	7078	33602
174	7122	33579
175	7172	33581
176	7222	33584
177	7275	33597
178	7340	33667
179	7379	33619
180	7410	33531
181	7442	33448
182	7483	33407
183	7516	33335
184	7556	33288
185	7599	33256
186	7632	33185
187	7678	33164
188	7740	33212
189	7774	33144
190	7812	33092
191	7867	33109
192	7910	33076
193	7969	33111
194	8023	33123
195	8065	33086
196	8113	33073
197	8149	33008
198	8181	32930
199	8222	32889
200	8270	32877
201	8304	32806
202	8342	32752
203	8385	32718
204	8432	32701
205	8471	32651
206	8527	32668
207	8562	32601
208	8595	32529
209	8652	32548
